Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar
1/2/79,226.8,137.3,43164.9,111.5,263.7,359.6,1792.9,735.6,851.3,4454.6,107470.0,194.6,193.6
1/3/79,218.6,134.0,43717.9,108.0,264.4,365.9,1802.2,739.4,855.7,4477.7,108027.4,192.2,193.0
1/4/79,223.2,136.8,43674.9,110.7,264.1,366.4,1811.7,743.4,860.3,4501.5,108602.5,193.0,194.6
1/5/79,225.5,138.4,44582.5,111.6,268.4,373.7,1843.6,756.4,875.4,4580.6,110510.4,196.4,197.9
1/8/79,223.1,136.4,44436.2,110.2,269.5,372.6,1841.3,750.9,869.7,4574.2,110356.3,197.2,197.9
1/9/79,224.0,137.3,44045.6,111.0,266.3,372.8,1822.5,743.3,860.9,4528.3,109248.4,195.0,195.9
1/10/79,220.7,135.5,43366.4,109.9,261.8,365.9,1803.5,735.6,852.0,4481.0,108108.3,192.0,192.7
1/11/79,220.7,135.9,43770.6,110.2,262.5,370.9,1814.6,740.1,857.2,4508.5,108771.7,192.4,193.8
1/12/79,217.6,134.1,42837.1,109.0,257.2,364.6,1782.6,727.1,842.1,4429.1,106856.6,187.1,189.8
1/15/79,216.9,133.8,42795.3,108.8,256.8,367.8,1782.0,718.1,825.5,4374.7,106819.8,187.3,189.8
1/16/79,220.7,135.6,43225.9,110.2,260.9,367.7,1796.5,724.0,832.3,4410.4,107689.8,189.3,191.9
1/17/79,227.3,139.2,44349.7,113.3,267.6,376.2,1842.1,742.3,853.4,4522.2,110419.8,196.0,197.1
1/18/79,231.8,141.7,44823.4,115.3,270.8,379.1,1861.7,750.3,862.5,4570.5,111599.2,197.1,199.0
1/19/79,230.6,141.1,46908.8,115.1,280.9,396.1,1940.8,782.1,899.1,4764.4,116335.5,206.5,207.6
1/22/79,235.0,144.0,46387.4,117.6,278.3,393.5,1886.9,781.1,898.4,4746.6,115493.3,203.5,205.7
1/23/79,230.0,141.1,45633.1,115.2,273.3,386.8,1895.4,768.4,883.8,4669.5,113615.3,200.7,202.0
1/24/79,236.1,144.7,46372.4,118.1,278.9,392.8,1926.1,780.9,898.1,4745.1,115456.0,203.9,205.6
1/25/79,233.9,144.0,46890.3,117.3,280.1,397.2,1937.8,785.6,903.6,4774.0,116157.9,205.2,206.5
1/26/79,235.5,144.6,46801.3,118.0,279.6,394.6,1929.3,782.2,899.6,4752.9,115646.5,204.3,206.0
1/29/79,235.2,145.3,46917.3,117.9,279.3,395.3,1887.0,780.0,896.1,4721.9,115498.5,203.1,206.0
1/30/79,233.5,144.1,46907.2,116.9,278.5,394.2,1921.6,777.9,893.7,4709.1,115185.5,203.1,205.6
