,test,pred
0,1342.033333,1324.4305
1,1369.890909,1360.651
2,1388.986957,1385.9011
3,1358.742857,1387.2124
4,1372.735,1388.0671
5,1424.021739,1409.8535
6,1479.62381,1457.8512
7,1512.613636,1507.6292
8,1528.681818,1525.9067
9,1572.814286,1560.7319
10,1757.213043,1681.4689
11,1771.854545,1723.7814
12,1665.214286,1660.9467
13,1738.977273,1703.9342
14,1640.5454550000004,1599.881
15,1650.431818,1634.5978
16,1742.619048,1686.3102
17,1673.781818,1710.5032
18,1648.257143,1651.8883
19,1588.0434779999996,1587.5623
20,1597.585714,1571.4316
21,1593.931818,1601.4858
22,1627.826087,1650.679
23,1744.46,1685.2532
24,1747.021739,1704.2179
25,1721.154545,1724.4391
26,1681.7761899999996,1663.5773
27,1670.382609,1655.0913
28,1627.605,1626.0172
29,1593.1476189999996,1590.8701
30,1490.236364,1462.6604
31,1414.93913,1401.8098
32,1342.39,1381.3174
33,1286.747826,1330.7589
34,1348.495455,1344.114
35,1348.814286,1339.5662
36,1316.204348,1344.4424
37,1275.8380949999996,1247.8767
38,1220.868182,1210.3809
39,1243.052174,1212.8916
40,1300.995,1286.4194
41,1336.104762,1326.2736
42,1299.018182,1319.6744
43,1287.436364,1266.5807
44,1279.114286,1265.2294
45,1310.986957,1302.4539
46,1295.12381,1300.0117
47,1238.836364,1234.376
48,1222.517391,1206.963
49,1176.315,1175.6786
50,1199.008696,1198.4713
51,1249.781818,1235.2386
52,1227.205,1243.7283
53,1178.65,1186.912
54,1197.981818,1180.7332
55,1198.2047619999996,1187.7257
56,1181.513636,1205.046
57,1130.047826,1118.9548
58,1118.328571,1108.9476
59,1124.554545,1131.217
60,1159.263636,1159.6718
61,1085.709524,1081.8892
62,1067.913043,1068.5608
63,1095.619048,1096.1483
64,1199.928571,1166.4584
65,1244.143478,1248.9025
66,1242.2809519999996,1264.1382
67,1258.654545,1254.9633
68,1276.418182,1270.7689
69,1337.347619,1320.0159
70,1340.13913,1337.2246
71,1326.05,1345.8577
72,1266.590476,1245.4713
73,1236.004545,1234.26
74,1148.445455,1134.5806
75,1190.518182,1170.789
76,1234.38,1214.206
77,1231.113043,1251.974
78,1267.51,1259.0083
79,1246.834783,1243.1179
80,1260.2772730000004,1270.4037
81,1236.242857,1232.9438
82,1282.46087,1273.3613
83,1315.0,1289.7233
84,1279.536364,1304.7322
85,1282.3,1274.6671
86,1263.166667,1257.6392
87,1329.9260869999996,1312.062
88,1331.555,1318.4216
89,1324.645455,1329.1069
90,1334.247619,1325.5635
91,1303.343478,1295.9349
92,1281.6,1269.6304
93,1238.55,1232.8408
94,1201.117391,1196.3542
95,1198.495,1197.0106
96,1215.421739,1223.0232
97,1220.9727269999996,1237.1656
98,1250.890476,1251.5608
99,1291.208696,1268.6407
100,1320.095,1302.2339
101,1300.919048,1296.2399
102,1285.486364,1283.2162
103,1283.669565,1283.4934
104,1359.065,1328.6887
105,1413.004348,1382.8082
106,1499.054545,1480.2867
107,1511.328571,1500.0618
108,1494.830435,1497.3569
109,1470.052381,1466.5516
110,1478.645455,1485.5006
