Date,Year,Month,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar
1/31/1979,1979,01,227.2909091,139.5318182,44853.11364,113.3272727,269.5454545,378.7727273,1852.859091,754.0863636,869.4,4582.186364,111186.5682,197.0181818,198.6
2/28/1979,1979,02,245.69,151.31,49213.155,122.555,293.185,410.595,2010.37,822.305,939.105,4949.5,118284.045,209.86,216.65
3/31/1979,1979,03,242.0636364,149.3045455,49989.42727,118.7954545,284.2227273,407.2636364,1974.931818,810.1454545,926.2363636,4884.522727,116507.0636,204.3590909,215.9454545
4/30/1979,1979,04,238.6857143,148.5047619,51574.22381,115.1380952,273.6095238,409.8285714,1956.809524,817.9619048,918,4832.857143,115259.9095,202.347619,215.4142857
5/31/1979,1979,05,257.8,161.1217391,56482.6,125.2304348,297.8391304,445.6347826,2119.934783,871.3347826,983.6956522,5210.843478,124753.8217,217.6956522,233.1652174
6/30/1979,1979,06,279.0857143,173.0380952,61069.33333,132.1380952,327.4095238,474.4904762,2248.895238,941.3047619,1064.771429,5592.233333,132563.719,235.5809524,251.1238095
7/31/1979,1979,07,294.7636364,178.2363636,63843.15455,130.4863636,343,486.0954545,2309.7,980.3954545,1109.827273,5881.504545,137305.9227,248.5227273,261.4318182
8/31/1979,1979,08,301.4478261,182.3913043,65681.28696,134.7608696,352.7043478,499.4869565,2414.847826,1025.9,1148.908696,6204.595652,148696.1696,252.426087,267.1521739
9/30/1979,1979,09,355.13,212.36,78779.2,161.63,412.955,571.37,2865.035,1189.665,1343.09,7260.935,175525.86,294.6,314.715
10/31/1979,1979,10,391.6608696,235.373913,90002.71304,182.626087,459.1434783,637.1434783,3203.965217,1319.030435,1488.508696,7981.573913,193444,323.8347826,350.9086957
11/30/1979,1979,11,392.0136364,234.8454545,95936.22273,183.7227273,461.8590909,643.9136364,3183.463636,1315.686364,1465.927273,7876.586364,184889.6818,324.3136364,357.9272727
12/31/1979,1979,12,461.2380952,271.347619,111353.1381,209.5095238,542.9904762,742.6571429,3746.047619,1558.066667,1769.390476,9419.071429,224198.4905,383.4285714,420.2571429
1/31/1980,1980,01,668.2130435,390.9086957,158987.4696,295.0956522,777.2695652,1065.678261,5307.230435,2242.213043,2530.330435,13597.2913,320061.7,547.9086957,601.7652174
2/29/1980,1980,02,665.3333333,392.5095238,162529.4667,290.4904762,769.6238095,1091.142857,5286.738095,2227.342857,2485.247619,13469.00952,382813.6,541.7714286,602.6761905
3/31/1980,1980,03,553.5952381,343.5571429,137667.8667,250.7238095,648.9428571,975.8238095,4511.466667,1856.361905,2076.580952,11287.75238,330759.4238,448.752381,508
4/30/1980,1980,04,514.5454545,325.4136364,128778.3182,233.05,610.6954545,908.0818182,4152.868182,1710.472727,1920.845455,10431.34545,296667.6455,415.6090909,471.8590909
5/31/1980,1980,05,513.6590909,312.8227273,117320.9909,223.0409091,602.9681818,854.7409091,4050.045455,1688.677273,1890.690909,10385.00455,298302.7682,406,454.3909091
6/30/1980,1980,06,600.7238095,361.2333333,130957.3571,257.047619,691.8714286,981.2857143,4711.12381,2008.157143,2233.228571,12248.18571,359842.4952,465.7,520.6666667
7/31/1980,1980,07,644.2956522,384.8608696,142641.2,271.5521739,743.3826087,1038.143478,5012.43913,2142.478261,2387.586957,13093.43913,386803.1913,493.6391304,556.8
8/31/1980,1980,08,627.7428571,382.947619,140513.1714,264.7714286,727.1238095,1036.757143,4871.795238,2075.052381,2306.214286,12720.88095,380476.1381,476.8333333,541.7142857
9/30/1980,1980,09,673.6409091,412.4363636,144562.4773,280.4727273,784.5636364,1104.872727,5211.140909,2235.213636,2480.959091,13697.28182,414638.7909,507.4045455,575.6409091
10/31/1980,1980,10,661.1608696,414.3391304,138469.5087,273.6478261,773.6608696,1099.613043,5112.313043,2195.565217,2436.795652,13461.82174,410082.6304,496.9043478,563.673913
11/30/1980,1980,11,623.475,406.13,132816.5,260.23,739.5,1078.23,4833.675,2071.195,2292.52,12758.655,412965.975,468.27,534.185
12/31/1980,1980,12,595.7,398.0043478,124983.0913,253.3652174,713.373913,1063.291304,4708.191304,1984.034783,2190.282609,12190.94348,395051.2522,449.0043478,510.4173913
1/31/1981,1981,01,560.35,381.7090909,113419.55,233.1681818,667.4181818,1018.827273,4448.540909,1867.268182,2058.095455,11515.31818,368110.0364,419.5136364,474.7272727
2/28/1981,1981,02,499.775,364.585,103241.815,217.935,601.155,978.265,4110.24,1672.71,1846.23,10326.02,343626.775,387.96,431.665
3/31/1981,1981,03,498.7818182,362.6818182,104319.7636,223.2636364,594.9090909,960.0954545,4093.068182,1670.636364,1815.013636,10129.18182,331019.4091,394.8545455,429.25
4/30/1981,1981,04,494.6090909,371.2045455,106383.4455,227.2363636,589.5227273,977.3272727,4095.086364,1660.072727,1817.413636,10185.64545,343039.9318,401.5045455,429.4409091
5/31/1981,1981,05,479.7619048,381.2571429,105943.1714,229.6238095,576.2952381,991.7952381,4028.595238,1620.466667,1775.185714,9976.852381,333544.3048,402.2095238,420.7238095
6/30/1981,1981,06,460.7772727,379.3409091,103252.4136,233.3590909,553.9409091,955.4181818,3968.227273,1565.377273,1744.027273,9635.190909,329168.7636,399.5045455,403.4636364
7/31/1981,1981,07,408.9652174,345.4391304,95031.42174,218.1826087,495.1434783,857.8608696,3630.630435,1396.404348,1517.956522,8911.204348,288025.2043,377.1521739,357.873913
8/31/1981,1981,08,410.8809524,356.0095238,95793.24762,225.5238095,502.2666667,890.7380952,3710.519048,1403.928571,1505.242857,9364.957143,285323.1952,390.1571429,360.547619
9/30/1981,1981,09,443.7636364,365.4681818,101783.15,244.4409091,532.3863636,898.5409091,4039.090909,1515.859091,1625.995455,10146.41818,308812.3864,420.1454545,386.25
10/31/1981,1981,10,437.7727273,355.05,101182.9455,237.6863636,526.2454545,823.7090909,3998.609091,1494.781818,1606.040909,10005.35455,294256.1591,418.2,382.6636364
11/30/1981,1981,11,413.3904762,333.7238095,92357.60476,217.4047619,491.0285714,737.5809524,3766.77619,1413.714286,1512.666667,9457.77619,275135.6619,397.8571429,361.0095238
12/31/1981,1981,12,408.3,334.4608696,89586.30435,214.5652174,485.1521739,743.2869565,3743.178261,1401.313043,1506.243478,9403.613043,290185.387,396.7043478,361.273913
