year,month,date, value
1973,1,1/1/73,107.616
1973,2,2/1/73,103.046
1973,3,3/1/73,100.0
1973,4,4/1/73,100.376
1973,5,5/1/73,99.263
1973,6,6/1/73,97.483
1973,7,7/1/73,94.995
1973,8,8/1/73,96.633
1973,9,9/1/73,95.849
1973,10,10/1/73,96.122
1973,11,11/1/73,97.984
1973,12,12/1/73,98.292
1974,1,1/1/74,99.687
1974,2,2/1/74,97.239
1974,3,3/1/74,95.777
1974,4,4/1/74,94.154
1974,5,5/1/74,93.659
1974,6,6/1/74,94.423
1974,7,7/1/74,94.562
1974,8,8/1/74,95.938
1974,9,9/1/74,96.492
1974,10,10/1/74,95.846
1974,11,11/1/74,95.147
1974,12,12/1/74,94.697
1975,1,1/1/75,93.975
1975,2,2/1/75,92.848
1975,3,3/1/75,92.289
1975,4,4/1/75,92.8
1975,5,5/1/75,92.394
1975,6,6/1/75,92.665
1975,7,7/1/75,95.062
1975,8,8/1/75,96.026
1975,9,9/1/75,96.557
1975,10,10/1/75,96.302
1975,11,11/1/75,96.155
1975,12,12/1/75,96.352
1976,1,1/1/76,95.42
1976,2,2/1/76,94.613
1976,3,3/1/76,94.505
1976,4,4/1/76,94.476
1976,5,5/1/76,94.547
1976,6,6/1/76,94.559
1976,7,7/1/76,94.105
1976,8,8/1/76,93.871
1976,9,9/1/76,94.378
1976,10,10/1/76,94.419
1976,11,11/1/76,94.79
1976,12,12/1/76,94.446
1977,1,1/1/77,93.719
1977,2,2/1/77,94.268
1977,3,3/1/77,94.278
1977,4,4/1/77,94.02
1977,5,5/1/77,93.803
1977,6,6/1/77,93.66
1977,7,7/1/77,92.742
1977,8,8/1/77,92.868
1977,9,9/1/77,92.708
1977,10,10/1/77,91.722
1977,11,11/1/77,91.109
1977,12,12/1/77,89.705
1978,1,1/1/78,89.069
1978,2,2/1/78,88.979
1978,3,3/1/78,88.556
1978,4,4/1/78,88.638
1978,5,5/1/78,89.624
1978,6,6/1/78,88.79
1978,7,7/1/78,86.908
1978,8,8/1/78,85.164
1978,9,9/1/78,85.619
1978,10,10/1/78,84.133
1978,11,11/1/78,85.925
1978,12,12/1/78,86.23
1979,1,1/1/79,86.239
1979,2,2/1/79,87.082
1979,3,3/1/79,87.28
1979,4,4/1/79,88.228
1979,5,5/1/79,89.27
1979,6,6/1/79,89.457
1979,7,7/1/79,87.811
1979,8,8/1/79,88.261
1979,9,9/1/79,88.291
1979,10,10/1/79,89.181
1979,11,11/1/79,90.29
1979,12,12/1/79,89.588
1980,1,1/1/80,88.874
1980,2,2/1/80,89.674
1980,3,3/1/80,92.483
1980,4,4/1/80,93.206
1980,5,5/1/80,90.264
1980,6,6/1/80,88.923
1980,7,7/1/80,88.042
1980,8,8/1/80,88.758
1980,9,9/1/80,88.136
1980,10,10/1/80,88.309
1980,11,11/1/80,89.753
1980,12,12/1/80,90.621
1981,1,1/1/81,89.747
1981,2,2/1/81,92.14
1981,3,3/1/81,92.302
1981,4,4/1/81,93.886
1981,5,5/1/81,96.383
1981,6,6/1/81,98.347
1981,7,7/1/81,100.453
1981,8,8/1/81,101.942
1981,9,9/1/81,99.947
1981,10,10/1/81,99.181
1981,11,11/1/81,97.46
1981,12,12/1/81,97.197
1982,1,1/1/82,98.191
1982,2,2/1/82,100.965
1982,3,3/1/82,103.216
1982,4,4/1/82,103.7
1982,5,5/1/82,102.522
1982,6,6/1/82,106.916
1982,7,7/1/82,108.478
1982,8,8/1/82,110.309
1982,9,9/1/82,110.839
1982,10,10/1/82,110.974
1982,11,11/1/82,110.041
1982,12,12/1/82,107.047
1983,1,1/1/83,106.255
1983,2,2/1/83,107.158
1983,3,3/1/83,107.724
1983,4,4/1/83,109.066
1983,5,5/1/83,109.292
1983,6,6/1/83,110.775
1983,7,7/1/83,111.495
1983,8,8/1/83,113.021
1983,9,9/1/83,113.237
1983,10,10/1/83,112.013
1983,11,11/1/83,112.923
1983,12,12/1/83,113.845
