Year,Month,Inflation_Value,dollar_index,us_dollar,pound,indian_rupee,south_african_rand,australian_dollar
1979,1,9.3,86.239,227.2909091,113.3272727,1852.859091,197.0181818,198.6
1979,2,9.9,87.082,245.69,122.555,2010.37,209.86,216.65
1979,3,10.1,87.28,242.0636364,118.7954545,1974.931818,204.3590909,215.9454545
1979,4,10.5,88.228,238.6857143,115.1380952,1956.809524,202.347619,215.4142857
1979,5,10.9,89.27,257.8,125.2304348,2119.934783,217.6956522,233.1652174
1979,6,10.9,89.457,279.0857143,132.1380952,2248.895238,235.5809524,251.1238095
1979,7,11.3,87.811,294.7636364,130.4863636,2309.7,248.5227273,261.4318182
1979,8,11.8,88.261,301.4478261,134.7608696,2414.847826,252.426087,267.1521739
1979,9,12.2,88.291,355.13,161.63,2865.035,294.6,314.715
1979,10,12.1,89.181,391.6608696,182.626087,3203.965217,323.8347826,350.9086957
1979,11,12.6,90.29,392.0136364,183.7227273,3183.463636,324.3136364,357.9272727
1979,12,13.3,89.588,461.2380952,209.5095238,3746.047619,383.4285714,420.2571429
1980,1,13.9,88.874,668.2130435,295.0956522,5307.230435,547.9086957,601.7652174
1980,2,14.2,89.674,665.3333333,290.4904762,5286.738095,541.7714286,602.6761905
1980,3,14.8,92.483,553.5952381,250.7238095,4511.466667,448.752381,508
1980,4,14.7,93.206,514.5454545,233.05,4152.868182,415.6090909,471.8590909
1980,5,14.4,90.264,513.6590909,223.0409091,4050.045455,406,454.3909091
1980,6,14.4,88.923,600.7238095,257.047619,4711.12381,465.7,520.6666667
1980,7,13.1,88.042,644.2956522,271.5521739,5012.43913,493.6391304,556.8
1980,8,12.9,88.758,627.7428571,264.7714286,4871.795238,476.8333333,541.7142857
1980,9,12.6,88.136,673.6409091,280.4727273,5211.140909,507.4045455,575.6409091
1980,10,12.8,88.309,661.1608696,273.6478261,5112.313043,496.9043478,563.673913
1980,11,12.6,89.753,623.475,260.23,4833.675,468.27,534.185
1980,12,12.5,90.621,595.7,253.3652174,4708.191304,449.0043478,510.4173913
1981,1,11.8,89.747,560.35,233.1681818,4448.540909,419.5136364,474.7272727
1981,2,11.4,92.14,499.775,217.935,4110.24,387.96,431.665
1981,3,10.5,92.302,498.7818182,223.2636364,4093.068182,394.8545455,429.25
1981,4,10,93.886,494.6090909,227.2363636,4095.086364,401.5045455,429.4409091
1981,5,9.8,96.383,479.7619048,229.6238095,4028.595238,402.2095238,420.7238095
1981,6,9.6,98.347,460.7772727,233.3590909,3968.227273,399.5045455,403.4636364
1981,7,10.8,100.453,408.9652174,218.1826087,3630.630435,377.1521739,357.873913
1981,8,10.8,101.942,410.8809524,225.5238095,3710.519048,390.1571429,360.547619
1981,9,11,99.947,443.7636364,244.4409091,4039.090909,420.1454545,386.25
1981,10,10.1,99.181,437.7727273,237.6863636,3998.609091,418.2,382.6636364
1981,11,9.6,97.46,413.3904762,217.4047619,3766.77619,397.8571429,361.0095238
1981,12,8.9,97.197,408.3,214.5652174,3743.178261,396.7043478,361.273913
1982,1,8.4,98.191,384.7809524,203.8333333,3512.604762,371.4857143,345.4285714
1982,2,7.6,100.965,374.16,202.585,3440.46,367.085,345.015
1982,3,6.8,103.216,330.273913,182.7956522,3064.669565,337.1565217,311.5608696
1982,4,6.5,103.7,350.4636364,197.9636364,3274.554545,369.1272727,333.2136364
1982,5,6.7,102.522,334.7380952,185.0904762,3115.495238,356.6238095,316.2952381
