Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,892782000,1320041500,1358960800,1842726000,1906895200,1565328400,1569256000,1365680000,1493121700,1262842800,1708729730,3357977441,6339772676,6213814800,5329033239,3989818897,3862096210,3319307783,3822366657,5486014814,6366460013,4824242557,9995391403,11987781860,9886483620,8361034037,10346341272,12583630027,16852981546,16961258793,19318743724,19339711736,13852416773,14188550691,14313163753,14951886130,17402141302,17588261224,15377553385,21955814712,18821546024,18663980677,21567012300,33258076239,36925537509,43257063109,55078716458,26907894339,32923506492,41742190607,42267797177,46714016758,49138172006,52837027750,53910325023,45712035071,53555791523,66597718118,53880533420,58754685703,
Canada,CAN,2012986400,2296085100,2561922010,2615182920,2893026720,3040845600,2707536060,2722684400,3215954000,3111279600,4732515670,5828802080,6640230810,7305435935,8978681010,7504993349,7876981014,7301923098,8558516042,14219999489,15461831432,11671918705,12269212046,11161317127,8699532578,9077363670,10961351035,16241919192,22421917624,22511818355,23529517647,20836199991,14744867435,14845679468,13774515278,16369362024,21562298750,18718498840,24023245895,28650287867,32427268296,34252695468,37189390324,36267581049,34476385088,33018041276,35063091947,41082108779,43872316564,54356329767,57151157771,65818985667,68546343362,71937085416,74699962253,79753521150,82718110858,86677706697,83925602808,85297110784,
China,CHN,,,,,,,,,,,,,,,,,,4456360000,4449800000,8707600000,10090779859,10106339043,17151500473,19831702778,21281443730,16881047188,16417429180,22453016928,23751513806,23052566323,34475661159,48165019103,24852636915,27348104117,57781337884,80288427870,1.12E+11,1.46E+11,1.53E+11,1.61E+11,1.72E+11,2.2E+11,2.98E+11,4.16E+11,6.23E+11,8.31E+11,1.08E+12,1.55E+12,1.97E+12,2.45E+12,2.91E+12,3.25E+12,3.39E+12,3.88E+12,3.9E+12,3.41E+12,3.1E+12,3.24E+12,3.17E+12,3.22E+12,
UK,GBR,3767016801,3327714600,3313161731,3153679121,2322326240,3011764240,3109538540,2702371600,2712427900,2535411000,2918294770,8956892354,6214060489,7946929576,9959015733,7547578527,6208263110,23778086731,21184736972,29084847009,31755311531,22802299491,21083020685,18593267596,15306822448,19081735747,25853390488,50917928958,51899597618,42381854894,43145747847,48572195809,42844142574,43982206194,48079032624,49144184298,46700021360,37662299516,38829795838,46188288222,50939389681,47417467709,54959281999,56349681040,62138194999,59135108205,63823577314,77715465907,64785716443,79453490100,98025460114,1.1E+11,1.17E+11,1.19E+11,1.24E+11,1.48E+11,1.35E+11,1.51E+11,1.73E+11,1.74E+11,
Indonesia,IDN,352739200,133183550,108100020,58079560,25003680,21003680,23011660,6012800,87276600,121712800,160280180,145119481.5,580054154,811133004.9,1500130951,592327932.2,1504197786,2536611976,2676740697,4205180825,6802959429,6248009714,4562680198,4902569211,5729969488,5989249388,5264622148,7094971197,6321735767,6699438101,8656792855,10357989011,11482019253,12474062371,13321136813,14907558866,19396148967,17486799643,23605842946,27345097667,29352929561,28103636180,32033585247,36256203642,36310733909,34730799049,42597040282,56935744023,51640625721,66118917968,96210980584,1.1E+11,1.13E+11,99386826239,1.12E+11,1.06E+11,1.16E+11,1.3E+11,1.21E+11,1.29E+11,
India,IND,674536630.9,666357094.9,512791844,607862500.4,499145125.8,600850886.2,609694584.5,663764119.8,730352744.9,927764119.8,1023173271,1245821898,1367601419,1629325093,2324650347,2064427968,3728750637,6085439869,8316115828,11815414019,12009788667,8108837891,8241561693,8215732399,8535944481,9493102974,10480102588,11511740599,9185839447,8048455918,5637446364,7615987475,9538786025,14674627090,24220928469,22864636916,24889364657,28385372946,30646563663,36005295926,41059061575,49050841139,71607865094,1.04E+11,1.32E+11,1.38E+11,1.78E+11,2.77E+11,2.57E+11,2.85E+11,3E+11,2.99E+11,3E+11,2.98E+11,3.25E+11,3.53E+11,3.62E+11,4.13E+11,3.99E+11,4.63E+11,
Japan,JPN,1953371600,1667124550,2021337500,2059016360,2020624000,2153610240,2121519420,2032436400,2976246800,3656226000,4876114550,15469152225,18932680017,13723926171,16551249546,14910844574,18590786441,25907718768,37824760300,31926247771,38918853640,37839021738,34403722657,33844570859,33898635723,34641191189,51727340940,92701644566,1.07E+11,93672792067,87828344748,80625862247,79696681098,1.08E+11,1.35E+11,1.93E+11,2.26E+11,2.27E+11,2.22E+11,2.94E+11,3.62E+11,4.02E+11,4.7E+11,6.74E+11,8.45E+11,8.47E+11,8.95E+11,9.73E+11,1.03E+12,1.05E+12,1.1E+12,1.3E+12,1.27E+12,1.27E+12,1.26E+12,1.23E+12,1.22E+12,1.26E+12,1.27E+12,1.32E+12,
SK,KOR,157015600,207046580,168650269.9,131455308.9,136361055.5,146287069.5,245208677.3,356582296.8,391778858.3,552934355.3,609950461.7,437824675.5,529914853,897136979,297744267.1,796941363.3,1985105840,2991368743,2826038818,3110375729,3100858988,2802003320,2945853719,2462789216,2848932436,2971646466,3443374519,3738510910,12477906377,15341828165,14916134693,13814693351,17228143548,20354785676,25763879675,32804280495,34157940704,20465115655,52099586441,74114183446,96250965793,1.03E+11,1.21E+11,1.55E+11,1.99E+11,2.11E+11,2.39E+11,2.63E+11,2.02E+11,2.7E+11,2.92E+11,3.07E+11,3.28E+11,3.46E+11,3.63E+11,3.67E+11,3.7E+11,3.89E+11,4.03E+11,4.09E+11,
SB,SAU,185058400,238033550,267921030,513943320,585032480,726260320,747859490,761879200,684960000,607180000,669558000,1462013713,2583652933,4093816070,14727449735,23625313525,27314909464,30410993714,20225550057,21611589271,26128874848,34051190080,31649049103,29040756673,26165371829,26506763265,20120464282,24909304908,22438214643,18590557937,13437132419,13298434204,7466618403,9223544328,9138918507,10399125055,16017714791,16210181642,15542900630,18330921206,20846854711,18866525322,22185731358,24537673815,29303891020,1.57E+11,2.29E+11,3.09E+11,4.51E+11,4.21E+11,4.59E+11,5.57E+11,6.74E+11,7.38E+11,7.44E+11,6.27E+11,5.47E+11,5.09E+11,5.09E+11,5.15E+11,
Thailand,THA,373373600,454901550,523663390,576683160,660812240,739800720,923957800,1008984000,1038538000,984984000,911040540,890056634.2,1115223907,1469494604,2194580772,2006995026,2112848141,2208114609,2556904312,3099793502,3026261895,2720399131,2673865472,2555856563,2687314836,3003322374,3776532764,5205711201,7112347032,10508203542,14258318642,18392698555,21183085550,25439320808,30280316600,36938829792,38644717231,26897418425,29537081212,34780926366,32665494240,33040506130,38903305774,42161780760,49846608742,52075784294,67007805168,87472466803,1.11E+11,1.38E+11,1.72E+11,1.75E+11,1.81E+11,1.67E+11,1.57E+11,1.56E+11,1.72E+11,2.03E+11,2.06E+11,2.24E+11,
